make,price,body,mileage,engV,engType,registration,year,drive
77,8599.0,5,169,1.6,0,1,2011,0
5,6400.0,2,220,2.5,3,1,1997,2
23,6450.0,1,150,1.4,3,1,2007,0
4,3600.0,3,374,2.5,0,0,2001,1
12,5999.0,3,121,1.6,3,1,2008,0
49,25000.0,3,0,2.0,2,1,2016,0
23,6450.0,1,149,1.4,3,1,2007,0
42,47500.0,0,63,4.4,0,1,2012,1
23,6450.0,1,150,1.4,3,1,2007,0
70,10500.0,3,125,2.0,3,1,2007,1
5,28900.0,3,78,2.0,3,1,2012,2
74,15500.0,0,165,2.7,1,1,2005,1
55,15656.589,0,0,1.6,3,1,2016,0
56,6700.0,3,335,2.5,1,1,1998,2
57,6000.0,3,171,2.0,3,1,2006,0
55,6700.0,3,80,1.8,3,1,2003,0
43,15000.0,3,147,2.5,2,1,2007,2
42,99000.0,0,50,4.4,0,1,2013,1
50,6999.0,3,288,3.2,1,1,2001,2
42,52000.0,0,70,4.4,0,1,2012,1
58,60000.0,2,11,3.8,3,1,2010,2
50,72700.0,5,42,2.2,0,1,2014,1
56,4200.0,3,290,2.0,3,1,1997,2
49,6800.0,1,208,2.0,3,1,2003,0
50,13500.0,3,317,5.0,3,1,2001,2
77,11000.0,4,210,1.9,0,1,2008,0
70,17000.0,0,28,2.0,3,1,2010,1
74,39000.0,0,88,4.5,0,1,2009,1
50,53500.0,0,46,5.5,3,1,2008,1
74,28999.0,3,86,3.5,3,1,2013,0
30,13700.0,3,120,3.5,3,1,2008,0
5,42000.0,3,5,2.0,3,1,2016,2
70,12200.0,2,103,2.0,0,1,2009,1
33,25600.0,0,94,2.0,0,1,2013,1
77,12000.0,3,186,3.2,3,1,2006,1
70,9700.0,0,230,2.5,1,1,2006,1
12,8800.0,3,110,1.6,1,1,2013,1
77,8900.0,2,180,1.9,0,1,2010,0
42,169900.0,0,0,4.4,0,1,2016,1
5,75555.0,3,30,4.4,3,1,2014,1
42,95555.0,0,60,4.4,0,1,2014,1
5,42900.0,3,2,2.0,3,1,2016,2
56,10950.0,3,44,1.6,1,1,2012,0
49,2800.0,1,100,2.0,3,1,1992,0
70,8400.0,3,170,3.0,3,1,2004,1
74,12900.0,3,177,2.4,1,1,2009,0
74,8900.0,3,115,1.6,3,1,2008,0
23,2500.0,3,313,1.6,3,1,1993,0
59,9500.0,4,78,1.5,0,1,2014,0
56,6800.0,4,170,1.3,0,1,2006,0
5,26999.0,0,180,4.8,1,1,2008,1
74,27700.0,3,21,2.5,3,1,2015,0
70,29500.0,0,0,2.5,3,1,2015,1
59,5300.0,5,145,1.5,2,1,2010,0
74,9100.0,3,151,1.6,1,1,2007,0
70,14300.0,0,110,2.5,3,1,2008,1
23,14999.0,0,79,2.5,3,1,2013,1
5,6500.0,3,298,2.5,3,1,1998,2
59,6600.0,5,134,1.5,0,1,2011,0
12,5450.0,3,242,1.6,1,1,2004,0
4,23800.0,0,205,4.2,1,1,2007,1
74,20859.15,0,1,2.0,3,1,2016,0
77,33700.0,5,11,1.4,3,1,2016,0
77,13000.0,3,140,2.0,3,1,2006,0
55,13300.0,0,127,3.5,1,1,2007,1
42,44000.0,0,99,5.0,3,1,2010,1
33,39900.0,0,0,2.2,0,1,2016,1
77,19000.0,3,109,1.8,3,1,2012,0
23,7200.0,1,114,1.4,1,1,2009,0
43,19999.0,0,142,3.5,1,1,2008,1
74,32000.0,3,22,2.5,3,1,2015,0
5,2200.0,3,303,2.5,0,0,1999,2
5,3100.0,4,1,2.0,0,0,2002,2
74,35500.0,0,165,4.0,1,1,2011,1
39,11200.0,3,60,1.6,3,1,2012,0
68,8800.0,2,26,1.0,3,1,2011,2
52,8000.0,0,220,2.4,1,1,2004,1
12,7800.0,4,142,1.8,1,1,2010,0
67,8500.0,3,149,1.6,1,1,2008,0
77,13499.0,3,162,1.4,3,1,2012,0
77,11500.0,2,189,2.0,0,1,2011,0
33,37400.0,0,0,2.2,0,1,2016,1
59,10999.0,5,207,2.0,0,1,2012,0
50,3500.0,5,395,2.3,0,0,1997,0
57,17895.15,1,0,1.6,0,1,2016,0
30,13950.0,3,143,2.0,3,1,2008,2
50,43500.0,3,59,4.6,3,1,2011,1
33,18900.0,0,145,2.0,1,1,2011,1
11,3500.0,3,83,1.6,3,1,2008,0
7,85000.0,2,20,6.0,3,1,2008,1
33,10800.0,0,142,2.0,0,1,2007,1
4,4850.0,3,270,2.6,3,1,1995,0
50,7900.0,2,206,2.2,0,1,2004,2
34,33800.0,0,44,3.7,3,1,2012,1
23,8900.0,3,117,2.0,3,1,2008,0
30,9850.0,3,140,2.0,3,1,2006,0
55,14500.0,0,151,2.5,0,1,2006,1
5,13700.0,0,270,4.6,1,1,2004,1
5,2900.0,4,236,2.0,0,0,2001,2
77,8500.0,2,200,1.6,0,1,2011,0
30,4800.0,3,1,1.6,3,1,1999,0
50,13600.0,5,190,2.2,0,1,2009,2
42,53500.0,0,57,3.0,0,1,2013,1
55,16600.0,0,83,2.0,3,1,2013,1
55,12300.0,3,115,2.5,3,1,2009,0
68,2300.0,1,91,0.6,3,0,2002,2
43,74777.0,0,63,5.7,1,1,2012,1
52,9500.0,0,225,2.4,1,1,2004,1
17,3650.0,3,64,1.4,3,1,2008,0
33,16300.0,0,125,2.7,1,1,2007,1
23,12000.0,1,44,1.0,3,1,2013,0
74,3700.0,1,282,1.4,3,1,1995,0
33,10800.0,0,106,2.0,1,1,2007,1
5,10999.0,3,225,3.0,0,1,2003,2
42,85900.0,0,60,3.0,0,1,2013,1
42,39900.0,0,120,5.0,3,1,2012,1
59,7899.0,5,129,1.5,2,1,2014,0
74,11700.0,3,131,2.4,3,1,2007,0
77,14500.0,3,1,1.6,2,1,2016,0
50,15300.0,2,120,2.6,3,1,2004,2
50,35500.0,0,99,5.0,1,1,2005,1
5,6500.0,3,335,2.8,3,1,1996,2
50,44000.0,2,82,5.5,3,1,2010,1
23,10400.0,1,45,1.0,3,1,2013,0
55,12500.0,0,107,2.0,1,1,2008,1
5,32500.0,0,152,3.0,0,1,2008,1
74,24000.0,0,73,4.0,3,1,2008,1
4,29602.95,3,1,1.4,3,1,2016,0
77,13500.0,5,124,2.0,0,1,2013,0
74,15500.0,0,146,2.4,1,1,2008,1
78,23880.0,3,127,3.0,3,1,2011,1
5,13900.0,0,184,3.0,1,1,2004,1
50,250000.0,2,6,5.5,3,1,2016,1
74,19800.0,0,252,4.2,0,1,2002,1
50,249999.0,2,3,5.5,3,1,2016,1
58,18500.0,0,200,3.2,1,1,2005,1
70,10900.0,0,160,3.0,3,1,2006,1
7,55555.0,2,45,6.0,3,1,2005,1
76,3300.0,3,200,1.5,1,1,2004,0
5,11400.0,3,206,3.0,3,1,2003,2
23,10066.485,1,1,1.25,3,1,2015,0
74,20800.0,3,49,3.5,3,1,2011,0
59,6300.0,5,73,1.5,0,1,2008,0
52,2600.0,2,200,2.4,3,0,2002,0
33,21166.665,3,0,1.8,3,1,2015,0
74,18400.0,0,160,4.7,1,1,2003,1
77,51900.0,0,30,3.0,0,1,2015,1
33,11200.0,0,78,2.0,3,1,2009,1
4,20500.0,3,155,3.0,3,1,2010,1
33,13800.0,2,57,1.6,3,1,2012,0
50,16800.0,2,266,3.0,0,1,2007,2
77,37900.0,0,73,3.0,0,1,2012,1
77,8700.0,2,520,2.5,0,1,1999,0
